WC	World Cup
BKG	Balkan Cup and Dr Gero International Cup	Balkan Cup and Dr Gero Cup	Balkan Cup & Dr Gero Cup	Bkn Cup & Dr Gero Cup	Bkn Cup & Gero Cup	Bkn & Gero Cup
AFG	African Games
AGQ	African Games qualifier	African Games qual	African Games q	Afr Games q
AQC	African Games qualifier and Central African Cup	African Games qual & Central African Cup	African Games qual & C African Cup	Afr Games q & C Afr Cup	AG q & CA Cup
AQW	African Games qualifier and West African Cup	African Games qual & West African Cup	African Games qual & W African Cup	Afr Games q & W Afr Cup	AG q & WA Cup
CAG	Central American Games	C American Games	C Am Games
CAC	Central American and Caribbean Games	C American & Caribbean Games	C Am & Carib Games	C Am & Crb Games	CA & Crb Games
BG	Bolivarian Games	Bolivar Games
ILG	Islamic Games
MDC	Mediterranean Cup	Medit Cup
MDG	Mediterranean Games	Medit Games
COT	CEDEAO Tournament	CEDEAO Tourn
COC	CEDEAO Cup
COQ	CEDEAO Cup qualifier	CEDEAO Cup qual	CEDEAO Cup q
CAR	Central African Cup	C African Cup
CAF	Central African Games	C African Games
MND	Mundialito
PAL	Palestine Cup
UDE	UDEAC Cup
UFC	Unifac Cup
WAN	West African Nations Cup	West African Cup	W African Cup
WAC	West African Cup	W African Cup
PRS	Presidents Cup
CLM	Colombo Cup
PCF	Pacific Cup
ATL	Atlantic Cup
ATB	Atlantic Cup and Bogado Cup	Atlantic Cup & Bogado Cup	Atl Cup & Bogado Cup	Atl & Bogado Cup
ATR	Atlantic Cup and Roca Cup	Atlantic Cup & Roca Cup	Atl Cup & Roca Cup	Atl & Roca Cup
ALP	Atlantic Cup and Lipton Cup	Atlantic Cup & Lipton Cup	Atl Cup & Lipton Cup	Atl & Lipton Cup
ATN	Atlantic Cup and Newton Cup	Atlantic Cup & Newton Cup	Atl Cup & Newton Cup	Atl & Newton Cup
ATC	Atlantic Cup and Osvaldo Cruz Cup	Atlantic Cup & Osvaldo Cruz Cup	Atl Cup & O Cruz Cup	Atl & Cruz Cup
ARB	Atlantic Cup and Rio Branco Cup	Atlantic Cup & Rio Branco Cup	Atl Cup & Rio Branco Cup	Atl Cup & R Branco Cup	Atl & R Branco Cup	Atl & R Br Cup
BGD	Bogado Cup
LPT	Lipton Cup
NWT	Newton Cup
POA	Copa Premio de Honor Argentino	Copa Premio Honor Argentino	Copa Honor Argentino	Copa Honor Arg
POU	Copa Premio de Honor Uruguayo	Copa Premio Honor Uruguayo	Copa Honor Uruguayo	Copa Honor Uru
MTV	Montevideo Cup
SPC	Saenz Pena Cup
CCP	Copa Círculo de la Prensa	Copa Círculo Prensa	Copa C Prensa
ROC	Roca Cup
RCB	Rosa Chevallier Boutell Cup	Rosa Chevallier Cup	Chevallier Cup
RBC	Rio Branco Cup
HGC	Hector Gomez Cup	H Gomez Cup
JMC	Juan Mignaburu Cup	J Mignaburu Cup	Mignaburu Cup
RGP	Roque Gomez Pena Cup	R Gomez Pena Cup	Gomez Pena Cup
OCC	Osvaldo Cruz Cup	O Cruz Cup
OHC	O'Higgins Cup
CDC	Carlos Dittborn Cup	C Dittborn Cup	Dittborn Cup
CPD	Pinto Duran Cup
ART	Artigas Cup
CDM	Copa Ciudad de Mexico	C Ciudad de Mexico	Copa CD Mexico
RCC	Ramon Castilla Cup	R Castilla Cup	Castilla Cup
TRE	Triangulaire
AAT	Addis Ababa 25th Anniversary Tournament	Addis Ababa 25th Anniversary Tourn	Addis Ababa 25th Anniv Tourn	Addis Ababa Anniv Tourn	Addis Ababa Tourn	Addis Ababa T
BJG	Beijing Invitational Cup	Beijing Inv Cup
EAC	East African Friendship Cup	East African Fr Cup	E African Fr Cup	East African Cup	E African Cup
IOC	Indian Ocean Cup	Indian Ocn Cup	Indian Ocn C
IOG	Indian Ocean Games	Indian Ocn Games	Indian Ocn G
SDC	SADCC Tournament	SADCC Tourn
AMT	Amitie Tournament	Amitie Tourn
IND	Independence Tournament	Independence Tourn	Indep Tourn
FRC	Friendship Cup	Friend Cup
BLC	Baltic Cup
BLT	Baltic Tournament	Baltic Tourn
CNT	Copa Centenario	C Centenario
CGU	Copa Guatemala
CTR	Centenary Tournament	Centenary Tourn
AGC	Bicentenary Gold Cup	Bicent Gold Cup	Bicent Gold C
USC	US Cup
CAN	Canada Cup
UMB	Umbro Cup
KOR	Korea Cup
KNG	King's Cup
CBG	Carlsberg Cup
DNH	Dunhill Cup
DNS	Dynasty Cup
KRN	Kirin Cup
SMB	Simba Cup
LGR	Lager Cup
CMS	COMESA Cup
KHC	King Hassan Cup	King Hassan C
BAT	Belier d'Afrique Tournament	Belier d'Afrique Tourn	Belier d'Afr Tourn	B d'Afr Tourn
ARR	Artificial River Tournament	Artificial River Tourn	Art River Tourn	Art River T
NRD	Nordic Championship	Nordic Champ
CVP	Copa Ciudad de Valparaíso	Copa CD Valparaíso	Copa Valparaíso	C Valparaíso
IOT	Indian Ocean Tournament	Indian Ocean Tourn	Indian Ocn Tourn	Indian Ocn T
LAF	LA Friendship Cup	Friendship Cup	LA Friend Cup	Friend Cup
CPC	Copa Paz del Chaco	C Paz del Chaco	C Paz Chaco
CRD	Copa Residentes	C Residentes
CLS	Copa Coliseo
BST	Black Stars Tournament	Black Stars Tourn	Black Stars T
MRL	Merlion Tournament	Merlion Tourn
MRD	Merdeka Tournament	Merdeka Tourn
SRJ	Sarjah Tournament	Sarjah Tourn
TTC	Trans Tasman Cup	Tr Tasman Cup
SKD	Skydome Tournament	Skydome Tourn
CBN	Caribana Cup
LIT	Leeward Islands Championship	Leeward Islands Champ	Leeward Isl Champ	Leeward Isl Ch	Leeward I Ch
WIT	Windward Islands Championship	Windward Islands Champ	Windward Isl Champ	Windward Isl Ch	Windward I Ch
GJC	Golden Jubilee Cup	Golden Jubilee C	Gld Jubilee C
MLM	Millenium Cup
CLT	Civilizations Cup	Civiliz Cup
CLG	AFC-OFC Challenge Cup	AFC-OFC Chlg Cup	AFC-OFC Ch Cup	AFC-OFC Cup
JCN	Central American Independence Centenary Cup	Central American Indep Cent Cup	C American Indep Cent Cup	C American Indep Cup	C Am Indep Cup	C Am Ind Cup
LCC	Lion City Cup
GSG	Gossage Cup
JLC	Jalco Cup
NKR	Nkrumah Cup
AZK	Azikwe Cup
KUN	Kuneitra Cup
TCC	Trans-Caucasian Championship	Trans-Caucasian Champ	Tr Caucasian Champ	Tr Caucasian Ch	Caucasian Ch
ANF	ANFA Cup
MRN	Marianas Cup
FRN	French Territory Cup	Fr Territory Cup	Fr Terr Cup
VIC	Vietnam Independence Cup	Vietnam Indep Cup	Vietnam Ind Cup	Vietnam Cup
JAT	Jakarta Anniversary Tournament	Jakarta Anniversary Tourn	Jakarta Anniv Tourn	Jakarta Anniv T	Jakarta Tourn
GNF	GANEFO Tournament	GANEFO Tourn
GRN	Greenland Cup
TRP	Tropical Cup
NBT	Nile Basin Tournament	Nile Basin Tourn	Nile Basin T
JAM	Friendship Games	Friend Games
JCM	Friendship Games	Friend Games
ELF	ELF Cup
FT	Friendly tournament	Friendly tourn	Friendly t
F	Friendly
